Service Name,Sub-Module Name,Module Name
Building fitness / Building Fitness Certificate,Permit & Approval,Building Permissions
Building Permits Under Govt. Schemes,Permit & Approval,Building Permissions
Land Development,Permit & Approval,Building Permissions
"Intimation Temporary Huts ,sheds and SFR buildings upto 100 m2",Permit & Approval,Building Permissions
Intimation-Demolition of a Construction,Permit & Approval,Building Permissions
Movement permit for ordinary earth,Permit & Approval,Building Permissions
Intimation-Telecommunication Tower,Permit & Approval,Building Permissions
Self-certified permit(SCP),Permit & Approval,Building Permissions
General Permit,Permit & Approval,Building Permissions
Regularisation,Permit & Approval,Building Permissions
Government Schemes,Permit & Approval,Building Permissions
Correction & Resubmit,Permit & Approval,Building Permissions
Revised permit,Post Permit,Building Permissions
Construction level Inspection,Post Permit,Building Permissions
Renewal/Extension of permit,Post Permit,Building Permissions
Completion certificate,Post Permit,Building Permissions
Revoke the Permit,Post Permit,Building Permissions
Occupancy Certificate,Post Permit,Building Permissions
Assign New Licensee,Post Permit,Building Permissions
Change Owners in Permit,Post Permit,Building Permissions
Mobile towers - Complaint,Enforcement,Building Permissions
Septic tank/soak pit condition violations - Complaint,Enforcement,Building Permissions
Unauthorised construction - Complaint,Enforcement,Building Permissions
Building Permit/Regularisation- legacy files,Permit & Approval,Building Permissions
Plot Sub division including land developments,Permit & Approval,Building Permissions
Licensee withdrawal in Permit,Post Permit,Building Permissions
Import Your Permit to K Smart,Post Permit,Building Permissions
Intimations by licensee on Violation from permitted plans,Post Permit,Building Permissions
Regularisation of Unauthorised Construction,Permit & Approval,Building Permissions
Completion certificate residential under 150sqm,Post Permit,Building Permissions
Occupancy Partial Completion,Post Permit,Building Permissions
Remove the existing licensee by Owners,Post Permit,Building Permissions
Refund fee in Building Permit,Post Permit,Building Permissions
Telecommunication Tower Occupancy Completion,Post Permit,Building Permissions
Intimation of construction- Category II Panchayats,Permit & Approval,Building Permissions
Intimation of construction for Livestock building,Permit & Approval,Building Permissions
Intimation of construction for Mechanical Parking Structures,Permit & Approval,Building Permissions
Intimation of Contruction of Electric Vehicle battery charging stations,Permit & Approval,Building Permissions
Intimation for construction of Govt Building,Permit & Approval,Building Permissions
Intimation of Completion of building construction in Category II Panchayats,Post Permit,Building Permissions
Intimation of Completion of construction of Livestock building,Post Permit,Building Permissions
Intimation of Completion of construction for Mechanical Parking Structures,Post Permit,Building Permissions
Intimation of Completion of construction of Electric Vehicle battery charging stations,Post Permit,Building Permissions
Intimation of Completion of construction of Govt Building,Post Permit,Building Permissions
Reports,Permit & Approval,Building Permissions
Tax Appeal,Assessment services,Property Tax
New Tax Assessment (Form 2),Assessment services,Property Tax
Tax Re-assessment,Assessment services,Property Tax
Pay Building Tax,Tax Payments,Property Tax
Manage Buildings,Buiding Services,Property Tax
Link My Buildings,Buiding Services,Property Tax
Report Data Missing Building,Buiding Services,Property Tax
Tax Exemption,Buiding Services,Property Tax
Tax Exemption Revoke,Buiding Services,Property Tax
Vacancy Remission,Buiding Services,Property Tax
Vacancy Remission Revoke,Buiding Services,Property Tax
Intimation of Demolition,Buiding Services,Property Tax
Ownership Change,Buiding Services,Property Tax
Add/Update Building Changes,Buiding Services,Property Tax
Building Certificates,Certificates,Property Tax
Residence Certificate,Certificates,Property Tax
Vacancy Revoke - Employee,Employee - Operator,Property Tax
Tax Exemption Revocation - Employee,Employee - Operator,Property Tax
Intimation of Demolition - Employee,Employee - Operator,Property Tax
Property Tax Related Other Activities,Tax Payments,Property Tax
Receipt Entry - Employee,Employee - Operator,Property Tax
Building Search - Employee,Employee - Operator,Property Tax
New Tax Assessment - Employee,Employee - Operator,Property Tax
Link My Buildings - Employee,Employee - Operator,Property Tax
Property tax legacy receipt collection,Tax Payments,Property Tax
Field Reports - Employee,Employee - Operator,Property Tax
Ownership Change - Employee,Employee - Operator,Property Tax
Vacancy Remission - Employee,Employee - Operator,Property Tax
Tax Exemption - Employee,Employee - Operator,Property Tax
Tax Recovery - Employee,Employee - Operator,Property Tax
Data Correction Request - Employee,Employee - Operator,Property Tax
Settings - Employee,Employee - Operator,Property Tax
Tax Reassessment,Employee - Operator,Property Tax
Authorized to Unauthorized Buildings - Employee,Employee - Operator,Property Tax
Tax Recovery Revoke,Employee - Operator,Property Tax
Tax Re-Assessment by Split,Assessment services,Property Tax
Unauthorized Building - New Entry,Employee - Operator,Property Tax
Receipt Entry Cancellation,Employee - Operator,Property Tax
Property tax data correction - Grievance,Data correction,Property Tax
Write-Off,Employee - Operator,Property Tax
Penal Interest Advance Adjustment,Employee - Operator,Property Tax
Unauthorized to Authorized Application,Assessment services,Property Tax
Revoke of Blocked Building,Employee - Operator,Property Tax
Blocked Building,Employee - Operator,Property Tax
Tax Re-Calculator Service,Employee - Operator,Property Tax
Ward Delimitation,Employee - Operator,Property Tax
Tax Re-Assessment without Occupancy,Assessment services,Property Tax
Refund of Security deposit,Accounts,Finance Management
Refund of Performance guarantee,Accounts,Finance Management
Refund of Receipt,Accounts,Finance Management
Refund of Auction Deposit,Accounts,Finance Management
Purchase of Land,Budget,Finance Management
Budget preparation,Budget,Finance Management
Finance Management,Finance,Finance Management
Accounts,Accounts,Finance Management
Audit,Audit,Finance Management
Public fund misuse - Complaint,Finance,Finance Management
Recovery Payments,Accounts,Finance Management
Construction of Road,Budget,Finance Management
Construction of Building,Budget,Finance Management
Construction of Building- Administrative,Budget,Finance Management
Construction of Building-Commercial,Budget,Finance Management
Construction of Building - Income Generative,Budget,Finance Management
Maintenance of Road,Budget,Finance Management
Maintenance of Building,Budget,Finance Management
"Maintenance of other Asset,Goods And Service",Budget,Finance Management
Purchase of Vehicle,Budget,Finance Management
"Purchase of Fixtures, Furnitures and Equipments",Budget,Finance Management
Purchase of Machineries,Budget,Finance Management
"Purchase of Furniture,Electrical and Fixtures",Budget,Finance Management
Purchase of Others,Budget,Finance Management
Cash Payment of Beneficieries,Budget,Finance Management
Cash Payment of Beneficierie Group,Budget,Finance Management
Goods& Service Distribution of Beneficieries,Budget,Finance Management
Goods& Service Distribution of Beneficierie Group,Budget,Finance Management
Administrative Expenses - LB,Budget,Finance Management
Administrative Expenses - Allied Institutions,Budget,Finance Management
Establishment Expenses - LB,Budget,Finance Management
Establishment Expenses - Allied Institutions,Budget,Finance Management
Expenses related to Elected Representatives,Budget,Finance Management
Financial Contribution,Budget,Finance Management
Joint Venture Project,Budget,Finance Management
Functional Expenditure,Budget,Finance Management
Functional Execution,Budget,Finance Management
Social Security Related Activities,Budget,Finance Management
Tax Recoveries,Budget,Finance Management
Employee Related Recoveries,Budget,Finance Management
Recoveries Payable-Audit Recovery,Budget,Finance Management
Loans,Budget,Finance Management
Advances,Budget,Finance Management
Deposits,Budget,Finance Management
Other Refunds Payable,Budget,Finance Management
"Write off, Provision and depreciation",Budget,Finance Management
Bank to Bank Contra Entry,Accounts,Finance Management
Self Cheque Creation,Accounts,Finance Management
Journal Entry,Accounts,Finance Management
Opening Balance Entry,Accounts,Finance Management
Receipt Reverse Entry,Accounts,Finance Management
Payment Order Cancellation,Accounts,Finance Management
Bank Account Creation,Accounts,Finance Management
Cash Disbursement,Finance,Finance Management
Cheque Entry,Accounts,Finance Management
Paymentorder Generation,Accounts,Finance Management
Payment Generation,Accounts,Finance Management
Cash Counter,Finance,Finance Management
Counter Collection remittance,Accounts,Finance Management
Direct Receipt,Accounts,Finance Management
Budget Entry,Budget,Finance Management
Budget Presentation Process,Budget,Finance Management
Standing Demand,Accounts,Finance Management
Requisition,Accounts,Finance Management
Grant Receipt,Accounts,Finance Management
Fund Bank Account Mapping,Accounts,Finance Management
Receipt Cancellation,Accounts,Finance Management
Bank Reconcillation,Accounts,Finance Management
Treasury Bill Cancellation,Accounts,Finance Management
Plan - Budget integration,Budget,Finance Management
Imprest,Accounts,Finance Management
Imprest for Cashier,Accounts,Finance Management
Reciepts / Utilisation Certificate,Accounts,Finance Management
Refund of Unutilised Grants,Accounts,Finance Management
Revenue Recovery,Accounts,Finance Management
Refund of Retention,Accounts,Finance Management
Other Institutions expences,Accounts,Finance Management
Adjustment of Deposits,Accounts,Finance Management
Audit & Inspections(AG BDO),Audit,Finance Management
Certificate showing Non Liability,Audit,Finance Management
CSR fund /Donations/Contributions,Finance,Finance Management
ZERO HOUR PROCESS,Accounts,Finance Management
Penality for violating the provisions of Birth and Death act,Birth/Death penalities,Civil Registration
"Penality for not reporting the birth/death (Section 23(1),23(4))",Birth/Death penalities,Civil Registration
"Penality for not reporting the birth/death (Section 23(1)(A),23(4)(A))",Birth/Death penalities,Civil Registration
Penality for not issuing Certificate under section 12,Birth/Death penalities,Civil Registration
Penality for not giving MCCD (Section 23 (3)),Birth/Death penalities,Civil Registration
Birth registration - suits,Civil Registration Suite,Civil Registration
Death Registration - suits,Civil Registration Suite,Civil Registration
Common marriage registration - suits,Civil Registration Suite,Civil Registration
New Birth Registration - abandoned Child,Birth registration-abandoned,Civil Registration
New Birth Registration - adoption with in 21 days,Birth Registration-adoption,Civil Registration
New Birth Registration - adoption after 21 days to 30 days,Birth Registration-adoption,Civil Registration
New Birth Registration - adoption after 30 days to 1 year,Birth Registration-adoption,Civil Registration
New Birth Registration - adoption after 1 year,Birth Registration-adoption,Civil Registration
New Birth Registration - adoption without legal procedure,Birth Registration-adoption,Civil Registration
New birth registration - Reporting date with in 60 days of arrival,Birth Registration-Born out side india,Civil Registration
New birth registration - Reporting date after 60 days of arrival,Birth Registration-Born out side india,Civil Registration
Search for a single entry (First year),Birth Search,Civil Registration
For every year for which the search is continued,Birth Search,Civil Registration
Violating the provisions of Birth and Death act,Birth/Death penalities,Civil Registration
Certificate download,Certificate download,Civil Registration
Marriage registration with in 45 days,Common marriage New Registration,Civil Registration
Marriage registration with in 45 days (SC/ST/BPL),Common marriage New Registration,Civil Registration
Marriage registration after 45 days to five year,Common marriage New Registration,Civil Registration
Marriage registration after five year,Common marriage New Registration,Civil Registration
Common marriage Registration correction service,Common marriage Registration (correction),Civil Registration
Marriage Certificate (first certificate),Common marriage Registration certificate download,Civil Registration
Marriage Certificate (next onwards),Common marriage Registration certificate download,Civil Registration
All other corrections except Name correction,Corrections in Birth Registration,Civil Registration
Corrections in Death Registration,Corrections in Death Registration,Civil Registration
New Death Registration - abandoned body,Death registration - abandoned,Civil Registration
Search for a single entry (Death),Death Search,Civil Registration
for every year for which search is continued (Death),Death Search,Civil Registration
Certificate download (Death),Death Certificate,Civil Registration
Marriage Certificate download (Hindu),Hindu marriage Certificate,Civil Registration
Name correction of child,Name Correction of Child,Civil Registration
Name inclusion of child before one year,Name inclusion of Child,Civil Registration
Name inclusion after one year or age after 6 years,Name inclusion of Child,Civil Registration
New birth Registration with in 21 days,New Birth Registration,Civil Registration
New birth registration after 1 year,New Birth Registration,Civil Registration
New death Registration with in 21 days,New Death registration,Civil Registration
Granting Non - Availability Certificate of Birth,Non - Availability Certificate,Civil Registration
Still birth registration with in 21 days,Still birth Registration,Civil Registration
Non - Availability Certificate Death,Non - Availability CertificateDeath,Civil Registration
Birth Past Data Entry,Birth Past Data Entry,Civil Registration
Death Past Data Entry,Death Past Data Entry,Civil Registration
Marriage Past Data Entry,Marriage Past Data Entry,Civil Registration
Birth Bad Record Correction,Birth Bad Record Correction,Civil Registration
Death Bad Record Correction,Death Bad Record Correction,Civil Registration
Marriage Bad Record Correction,Marriage Bad Record Correction,Civil Registration
New birth Registration Hospital with in 21 days,New Birth Registration,Civil Registration
Still birth Registration Hospital with in 21 days,Still birth Registration,Civil Registration
New death Registration Hospital with in 21 days,New Death registration,Civil Registration
New death Registration abandoned body Hospital after 21 days,Death registration - abandoned,Civil Registration
New Birth Registration - abandoned Child Hospital with in 21 days,Birth registration-abandoned,Civil Registration
Name inclusion - difference in DOB from School certificate,Name inclusion of Child,Civil Registration
Name inclusion - registrations before 1/04/1970,Name inclusion of Child,Civil Registration
Name correction - difference in DOB from School certificate,Name Correction of Child,Civil Registration
All other birth certificate corrections before 1/04/1970,Corrections in Birth Registration,Civil Registration
Common marriage correction in Date/Age/Name,Common marriage Registration (correction),Civil Registration
Marriage Certificate search,Common marriage Registration certificate download,Civil Registration
New birth registration after 1 year with RDO proceedings,New Birth Registration,Civil Registration
Still birth registration after 1 year with RDO proceedings,Still birth Registration,Civil Registration
New Birth Registration - abandoned Child (RDO proceedings),Birth registration-abandoned,Civil Registration
New Death registration after 1 year with RDO proceedings,New Death registration,Civil Registration
Hospital Kiosk,Vital Statics,Civil Registration
Death Correction before 1/04/1970,Corrections in Death Registration,Civil Registration
Suomoto Correction Birth,Official Birth Correction,Civil Registration
Suomoto Correction Death,Official Death Correction,Civil Registration
Suomoto Correction Marriage,Official Common Marriage Correction,Civil Registration
Suomoto Correction Hindu Marriage,Official Hindu Marriage Correction,Civil Registration
Hindu marriage Registration Up to 30 days,Hindu marriage Certificate,Civil Registration
Hindu marriage correction - Date/Place/Name/DOB,Correction Hindu Marriage,Civil Registration
Hindu marriage PDE,Hindu Marriage PDE,Civil Registration
Hindu marriage Bad Record Correction,Bad Record Correction Hindu Marriage,Civil Registration
Birth Registration Cancellation,Official Birth Correction,Civil Registration
Death Registration Cancellation,Official Death Correction,Civil Registration
Marriage Registration Cancellation,Official Common Marriage Correction,Civil Registration
Hindu Marriage Registration Cancellation,Official Hindu Marriage Correction,Civil Registration
Non - Availability Certificate Birth Born outside India,Non - Availability Certificate Birth Born outside India,Civil Registration
Birth-Prosecution process,Birth/Death penalities,Civil Registration
Birth-Cancellation of Registration,New Birth Registration,Civil Registration
Death-Re creation of Registration,New Death registration,Civil Registration
Still Birth-Correction of Entries,Still birth Registration,Civil Registration
Civil Registration-Correspondence,Civil Registration Suite,Civil Registration
Hindu Marriage - Digitization of bad data,Hindu Marriage,Civil Registration
Anand Marriage-Report within 30 Days,Anand Marriage,Civil Registration
Anand Marriage - Correction of entries,Anand Marriage,Civil Registration
Marriage (Common )-Action on Order of Appeal/Revision,Common marriage Registration (correction),Civil Registration
Application for licence of Pigs/Dogs,Livestock Permit,Business Facilitation
License for Animal Keeping & Livestock Farms,Livestock Permit,Business Facilitation
Private slaughering - Complaint,Slaughter house,Business Facilitation
Public slaughter house/tanneries - Grievance,Slaughter house,Business Facilitation
"Butcher's, Fishmonger's and Poulterer's License",Slaughter house,Business Facilitation
License for Pet Animal Breeding & Selling Shops,Livestock Permit,Business Facilitation
License for Keeping Pet Animals in Home,Livestock Permit,Business Facilitation
Pet Animals License - Cancellation,Livestock Permit,Business Facilitation
Application for Industry Establishment Permit,"Industry, Factory, Workshop Establishment/Machinery Installation Permit",Business Facilitation
New Registration of private hospitals,Hospitals and Paramedicals,Business Facilitation
Registration renewal of private hospitals,Hospitals and Paramedicals,Business Facilitation
Registration of private hospitals Cancellation,Hospitals and Paramedicals,Business Facilitation
New Registration of tutorial institutions,Registrations of Institutions,Business Facilitation
Slaughter Related Service,Slaughter house,Business Facilitation
Application for New IFTE & OS License,IFTE & OS License,Business Facilitation
IFTE & OS License Renewal,IFTE & OS License,Business Facilitation
IFTE & OS License - Suspension,IFTE & OS License,Business Facilitation
Cruelty to animals - Complaint,Animals,Business Facilitation
Fest and fairs - Complaint,Enforcement,Business Facilitation
Hospital and paramedical institution - Complaint,Hospitals and Paramedicals,Business Facilitation
Unauthorised Parking - Complaint,Parking spaces,Business Facilitation
Pet animals - Complaint,Pet animals,Business Facilitation
Private slaughering,Slaughter house,Business Facilitation
Public slaughter house/tanneries,Slaughter house,Business Facilitation
Street vendors - Complaint,Street vendors,Business Facilitation
Sanitation Certificate,IFTE & OS License,Business Facilitation
Trade & Industry-Certificate,"Industry, Factory, Workshop Establishment/Machinery Installation Permit",Business Facilitation
Application for Pet License,Pet animals,Business Facilitation
Application for Cancellation of Pet License,Pet animals,Business Facilitation
New License for Private market,Management of Markets,Business Facilitation
Renewal of Private market license,Management of Markets,Business Facilitation
Transfer of License,IFTE & OS License,Business Facilitation
Temporary License,IFTE & OS License,Business Facilitation
Application for Enterprises Registration,IFTE & OS License,Business Facilitation
Drinking water - Complaint,Complaints,Public Grievance and complaints
Street - Complaint,Complaints,Public Grievance and complaints
Trees on private land - Complaint,Complaints,Public Grievance and complaints
Trees on public property - Complaint,Complaints,Public Grievance and complaints
Water supply - Grievance,Grievances,Public Grievance and complaints
Wandering Animals - Grievance,Grievances,Public Grievance and complaints
Complaints before various commissions,Complaints,Public Grievance and complaints
Conducting of Adalats and allied activities,Conducting of Adalath,Public Grievance and complaints
Dangerous structures - Complaint,Complaints,Public Grievance and complaints
"Dangerous tanks,wells and holes - Complaint",Complaints,Public Grievance and complaints
Precautions against fire - Complaint,Complaints,Public Grievance and complaints
Nuisance from certain cultivations - Complaint,Complaints,Public Grievance and complaints
Insanitary private tank or well - Complaint,Complaints,Public Grievance and complaints
Insanitary public tank or well - Grievance,Grievances,Public Grievance and complaints
Public well/tanks - Complaint,Complaints,Public Grievance and complaints
Washing of animals in public water courses - Complaint,Complaints,Public Grievance and complaints
Cloth washing at unauthorised places - Complaint,Complaints,Public Grievance and complaints
Untenanted buildings or lands - Complaint,Complaints,Public Grievance and complaints
Filth or noxious vegetation on public land - Grievance,Grievances,Public Grievance and complaints
Overcrowding in dwelling house - Complaint,Complaints,Public Grievance and complaints
Rain water - Complaint,Complaints,Public Grievance and complaints
Parking places controlled by localbody - Complaint,Complaints,Public Grievance and complaints
Grievance regarding beneficiary lists,Grievances,Public Grievance and complaints
Nuisance due to sound - Complaint,Complaints,Public Grievance and complaints
Soil erosion issues - Grievance,Grievances,Public Grievance and complaints
Smoke and air pollution - Complaint,Complaints,Public Grievance and complaints
Natural calamities - Grievance,Grievances,Public Grievance and complaints
Wild animal issues - Grievance,Grievances,Public Grievance and complaints
Reports (Adalath),Conducting of Adalath,Public Grievance and complaints